fold,test_start,baseline,lr_auc,xgb_auc,ensemble_auc,ensemble_acc,beats_base
1,2023-08-31,0.31666666666666665,0.8575096277278562,0.8048780487804879,0.853658536585366,0.6666666666666666,True
2,2023-11-27,0.55,0.8709315375982043,0.43546576879910215,0.7968574635241302,0.55,False
3,2024-02-23,0.6166666666666667,0.7649823736780258,0.6627497062279673,0.7356051703877791,0.5166666666666667,False
4,2024-05-20,0.43333333333333335,0.7330316742081449,0.6278280542986425,0.7081447963800905,0.65,True
5,2024-08-15,0.5833333333333334,0.4765714285714286,0.6102857142857143,0.5371428571428571,0.55,False
6,2024-11-08,0.5666666666666667,0.7013574660633484,0.7907239819004526,0.7624434389140271,0.7166666666666667,True
7,2025-02-07,0.23333333333333334,0.8571428571428571,0.75,0.9083850931677019,0.7166666666666667,True
8,2025-05-06,0.15,0.7886710239651418,0.6993464052287582,0.7363834422657952,0.8166666666666667,True
9,2025-08-01,0.5166666666666667,0.7363737486095663,0.557285873192436,0.6952169076751946,0.5333333333333333,True
10,2025-10-27,0.5333333333333333,0.5613839285714286,0.5546875,0.5647321428571428,0.55,True
