feature,importance
price_vs_ma200,0.15290476666481537
price_vs_ma50,0.1361862781126308
realized_vol_20d,0.13564366373199543
vix_percentile,0.0841197206345884
vix_level,0.0836795490904901
realized_vol_10d,0.07078293053533943
rsi_14,0.06946288501560971
vix_ma_ratio,0.05935321987350723
bb_position,0.03813297211609729
spy_return_20d,0.03718088378774035
spy_return_10d,0.03603279583901771
spy_return_5d,0.03507140140304078
volume_ratio,0.022945432433746058
vix_return_1d,0.022047561474178155
spy_return_1d,0.013774027016710615
vix_spike,0.0026819122704926663
