,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY260129C00620000,2026-01-28 20:56:34+00:00,620.0,75.77,73.99,77.2,6.9699936,10.130805,1.0,0,1.0029346728515625,True,REGULAR,USD
1,SPY260129C00650000,2026-01-28 20:48:46+00:00,650.0,45.37,44.02,47.21,6.8499985,17.782967,28.0,1,0.64648791015625,True,REGULAR,USD
2,SPY260129C00660000,2026-01-28 16:47:15+00:00,660.0,35.48,34.03,37.22,-0.6800003,-1.8805318,8.0,4,0.52539537109375,True,REGULAR,USD
3,SPY260129C00661000,2026-01-21 21:03:12+00:00,661.0,26.0,33.03,36.22,0.0,0.0,,0,0.5127001855468749,True,REGULAR,USD
4,SPY260129C00662000,2026-01-28 16:09:06+00:00,662.0,34.98,32.03,35.22,7.4399986,27.015245,8.0,1,0.500005,True,REGULAR,USD
5,SPY260129C00663000,2026-01-28 17:40:27+00:00,663.0,31.85,31.03,34.23,7.3600006,30.053085,8.0,2,0.8012715185546875,True,REGULAR,USD
6,SPY260129C00665000,2026-01-28 16:42:27+00:00,665.0,30.2,29.03,32.22,6.200001,25.833336,10.0,8,0.7641625146484375,True,REGULAR,USD
7,SPY260129C00666000,2026-01-28 16:33:00+00:00,666.0,29.96,28.03,31.22,2.3099995,8.354428,8.0,1,0.7463404272460938,True,REGULAR,USD
8,SPY260129C00667000,2026-01-28 20:10:53+00:00,667.0,28.98,27.04,30.24,6.9799995,31.72727,4.0,31,0.7307155834960937,True,REGULAR,USD
9,SPY260129C00668000,2026-01-28 15:49:01+00:00,668.0,28.13,26.04,29.23,5.629999,25.022219,2.0,15,0.7114286669921875,True,REGULAR,USD
10,SPY260129C00669000,2026-01-28 20:58:38+00:00,669.0,26.71,25.04,28.24,5.209999,24.232552,2.0,27,0.694338994140625,True,REGULAR,USD
11,SPY260129C00670000,2026-01-28 20:58:38+00:00,670.0,25.8,24.04,27.23,0.44999886,1.7751434,17.0,60,0.6748079394531252,True,REGULAR,USD
12,SPY260129C00671000,2026-01-28 16:46:18+00:00,671.0,24.17,23.04,26.23,1.8500004,8.288532,1.0,30,0.6564975756835938,True,REGULAR,USD
13,SPY260129C00672000,2026-01-28 19:29:44+00:00,672.0,22.86,22.59,25.36,-0.34000015,-1.4655179,2.0,21,0.6532017102050782,True,REGULAR,USD
14,SPY260129C00673000,2026-01-27 16:06:22+00:00,673.0,23.48,21.04,24.36,0.0,0.0,1.0,33,0.6342810009765626,True,REGULAR,USD
15,SPY260129C00674000,2026-01-27 14:55:48+00:00,674.0,21.75,20.05,23.36,0.0,0.0,2.0,45,0.6154823608398439,True,REGULAR,USD
16,SPY260129C00675000,2026-01-28 17:43:08+00:00,675.0,20.07,20.04,21.1,-1.1900005,-5.5973682,3.0,128,0.4321345849609375,True,REGULAR,USD
17,SPY260129C00676000,2026-01-28 15:30:50+00:00,676.0,20.88,19.13,20.13,0.44999886,2.2026374,5.0,28,0.42090422851562503,True,REGULAR,USD
18,SPY260129C00677000,2026-01-28 20:58:38+00:00,677.0,19.0,18.0,19.12,0.21999931,1.1714553,22.0,43,0.40332627929687503,True,REGULAR,USD
19,SPY260129C00678000,2026-01-28 14:54:48+00:00,678.0,19.89,17.01,18.12,1.5499992,8.4514675,3.0,80,0.3869690209960937,True,REGULAR,USD
20,SPY260129C00679000,2026-01-28 17:34:05+00:00,679.0,15.91,16.05,17.14,1.0999994,7.4274096,1.0,370,0.37354142089843745,True,REGULAR,USD
21,SPY260129C00680000,2026-01-28 20:53:57+00:00,680.0,16.07,14.62,16.19,-0.38000107,-2.310037,136.0,506,0.36377589355468753,True,REGULAR,USD
22,SPY260129C00681000,2026-01-28 21:13:13+00:00,681.0,14.6,14.32,15.2,-0.29999924,-2.0134177,12.0,225,0.3481510498046875,True,REGULAR,USD
23,SPY260129C00682000,2026-01-28 21:13:51+00:00,682.0,13.48,13.78,14.2,-0.8000002,-5.602242,42.0,726,0.331061376953125,True,REGULAR,USD
24,SPY260129C00683000,2026-01-28 21:14:30+00:00,683.0,12.97,12.74,13.23,-0.32999992,-2.4812024,64.0,1086,0.317389638671875,True,REGULAR,USD
25,SPY260129C00684000,2026-01-28 21:08:10+00:00,684.0,11.19,11.14,12.26,-1.4900007,-11.750794,130.0,304,0.30322962402343745,True,REGULAR,USD
26,SPY260129C00685000,2026-01-28 21:06:48+00:00,685.0,9.9,10.69,11.31,-1.9900007,-16.73676,301.0,539,0.29090064575195307,True,REGULAR,USD
27,SPY260129C00686000,2026-01-28 21:08:43+00:00,686.0,9.48,10.18,10.28,-1.1500006,-10.818444,1298.0,676,0.2690502783203125,True,REGULAR,USD
