,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY260129P00500000,2026-01-21 15:22:01+00:00,500.0,0.01,0.0,0.01,0.0,0.0,110.0,111,1.875000625,False,REGULAR,USD
1,SPY260129P00505000,2026-01-20 19:25:02+00:00,505.0,0.05,0.0,0.01,0.0,0.0,,6,1.8125009374999999,False,REGULAR,USD
2,SPY260129P00510000,2026-01-28 17:49:05+00:00,510.0,0.01,0.0,0.01,-0.02,-66.66667,15.0,329,1.75000125,False,REGULAR,USD
3,SPY260129P00515000,2026-01-20 19:25:42+00:00,515.0,0.05,0.0,0.01,0.0,0.0,,5,1.6875015625,False,REGULAR,USD
4,SPY260129P00520000,2026-01-22 15:26:56+00:00,520.0,0.02,0.0,0.01,0.0,0.0,5.0,14,1.625001875,False,REGULAR,USD
5,SPY260129P00525000,2026-01-22 20:14:38+00:00,525.0,0.01,0.0,0.01,0.0,0.0,21.0,36,1.5937520312499998,False,REGULAR,USD
6,SPY260129P00530000,2026-01-21 18:46:56+00:00,530.0,0.04,0.0,0.01,0.0,0.0,,830,1.5625021874999998,False,REGULAR,USD
7,SPY260129P00535000,2026-01-21 18:49:31+00:00,535.0,0.04,0.0,0.01,0.0,0.0,,12,1.5000025,False,REGULAR,USD
8,SPY260129P00545000,2026-01-21 16:01:16+00:00,545.0,0.03,0.0,0.01,0.0,0.0,50.0,55,1.3750031249999999,False,REGULAR,USD
9,SPY260129P00555000,2026-01-23 20:25:26+00:00,555.0,0.01,0.0,0.01,0.0,0.0,11.0,27,1.3125034374999998,False,REGULAR,USD
10,SPY260129P00560000,2026-01-23 14:33:07+00:00,560.0,0.01,0.0,0.01,0.0,0.0,1.0,3,1.2500037499999999,False,REGULAR,USD
11,SPY260129P00570000,2026-01-22 19:20:38+00:00,570.0,0.02,0.0,0.01,0.0,0.0,,71,1.15625421875,False,REGULAR,USD
12,SPY260129P00575000,2026-01-26 17:53:59+00:00,575.0,0.01,0.0,0.01,0.0,0.0,4027.0,4035,1.09375453125,False,REGULAR,USD
13,SPY260129P00580000,2026-01-26 17:36:00+00:00,580.0,0.01,0.0,0.01,0.0,0.0,22.0,52,1.0625046875000002,False,REGULAR,USD
14,SPY260129P00585000,2026-01-23 14:42:18+00:00,585.0,0.02,0.0,0.01,0.0,0.0,1.0,9,1.000005,False,REGULAR,USD
15,SPY260129P00590000,2026-01-27 17:52:35+00:00,590.0,0.01,0.0,0.01,0.0,0.0,1008.0,1019,0.9687503125,False,REGULAR,USD
16,SPY260129P00595000,2026-01-28 21:04:28+00:00,595.0,0.01,0.0,0.01,0.0,0.0,9.0,111,0.9062509375,False,REGULAR,USD
17,SPY260129P00600000,2026-01-28 21:02:03+00:00,600.0,0.01,0.0,0.01,0.0,0.0,12.0,77,0.87500125,False,REGULAR,USD
18,SPY260129P00605000,2026-01-28 21:04:25+00:00,605.0,0.01,0.0,0.01,-0.01,-50.0,3.0,73,0.8281267187499999,False,REGULAR,USD
19,SPY260129P00610000,2026-01-28 14:37:34+00:00,610.0,0.01,0.0,0.01,-0.02,-66.66667,15.0,324,0.7812521875,False,REGULAR,USD
20,SPY260129P00615000,2026-01-28 21:07:29+00:00,615.0,0.01,0.0,0.01,-0.01,-50.0,6.0,432,0.73437765625,False,REGULAR,USD
21,SPY260129P00620000,2026-01-28 21:13:47+00:00,620.0,0.01,0.0,0.01,-0.01,-50.0,100.0,690,0.6875031250000001,False,REGULAR,USD
22,SPY260129P00625000,2026-01-28 21:14:07+00:00,625.0,0.01,0.01,0.02,0.0,0.0,93.0,720,0.710940390625,False,REGULAR,USD
23,SPY260129P00630000,2026-01-28 20:43:32+00:00,630.0,0.01,0.01,0.02,-0.01,-50.0,104.0,894,0.6640658593750002,False,REGULAR,USD
24,SPY260129P00635000,2026-01-28 20:58:56+00:00,635.0,0.02,0.01,0.02,0.0,0.0,1211.0,1207,0.6171913281250001,False,REGULAR,USD
25,SPY260129P00640000,2026-01-28 21:05:49+00:00,640.0,0.03,0.01,0.02,0.01,50.0,267.0,668,0.5664105859375,False,REGULAR,USD
26,SPY260129P00645000,2026-01-28 21:04:23+00:00,645.0,0.02,0.01,0.02,-0.01,-33.333336,716.0,650,0.51562984375,False,REGULAR,USD
27,SPY260129P00650000,2026-01-28 21:13:44+00:00,650.0,0.02,0.01,0.02,-0.01,-33.333336,775.0,547,0.48438015625,False,REGULAR,USD
28,SPY260129P00655000,2026-01-28 21:12:37+00:00,655.0,0.02,0.02,0.03,-0.02,-50.0,812.0,3075,0.45313046875,False,REGULAR,USD
29,SPY260129P00660000,2026-01-28 21:07:30+00:00,660.0,0.03,0.02,0.03,-0.01,-25.0,669.0,3979,0.4023497265625,False,REGULAR,USD
30,SPY260129P00661000,2026-01-28 20:46:00+00:00,661.0,0.03,0.02,0.03,-0.04,-57.142857,312.0,752,0.39063109375,False,REGULAR,USD
31,SPY260129P00662000,2026-01-28 20:45:08+00:00,662.0,0.02,0.02,0.03,-0.05,-71.42857,758.0,1099,0.38086556640624997,False,REGULAR,USD
32,SPY260129P00663000,2026-01-28 21:09:56+00:00,663.0,0.03,0.02,0.03,-0.01,-25.0,1252.0,947,0.3711000390625,False,REGULAR,USD
33,SPY260129P00664000,2026-01-28 21:14:23+00:00,664.0,0.03,0.03,0.04,-0.03,-50.0,291.0,1522,0.37305314453125,False,REGULAR,USD
34,SPY260129P00665000,2026-01-28 21:10:31+00:00,665.0,0.03,0.03,0.04,-0.020000001,-40.000004,413.0,2539,0.3632876171875,False,REGULAR,USD
35,SPY260129P00666000,2026-01-28 21:01:07+00:00,666.0,0.04,0.03,0.04,-0.02,-33.333336,734.0,1725,0.35156898437499995,False,REGULAR,USD
36,SPY260129P00667000,2026-01-28 21:03:13+00:00,667.0,0.05,0.03,0.04,-0.009999998,-16.666662,1276.0,892,0.34180345703125,False,REGULAR,USD
37,SPY260129P00668000,2026-01-28 20:48:27+00:00,668.0,0.03,0.03,0.04,-0.049999997,-62.499996,677.0,325,0.33008482421874996,False,REGULAR,USD
