fold,test_start,test_end,baseline,lr_acc,lr_auc,lr_beats_base,xgb_acc,xgb_auc,xgb_beats_base
1,2023-08-31,2023-11-24,0.31666666666666665,0.7,0.8575096277278562,True,0.6,0.8048780487804879,True
2,2023-11-27,2024-02-22,0.55,0.7166666666666667,0.8709315375982043,True,0.55,0.43546576879910215,False
3,2024-02-23,2024-05-17,0.6166666666666667,0.5166666666666667,0.7649823736780258,False,0.5166666666666667,0.6627497062279673,False
4,2024-05-20,2024-08-14,0.43333333333333335,0.6666666666666666,0.7330316742081449,True,0.6333333333333333,0.6278280542986425,True
5,2024-08-15,2024-11-07,0.5833333333333334,0.5333333333333333,0.4765714285714286,False,0.55,0.6102857142857143,False
6,2024-11-08,2025-02-06,0.5666666666666667,0.65,0.7013574660633484,True,0.7333333333333333,0.7907239819004526,True
7,2025-02-07,2025-05-05,0.23333333333333334,0.65,0.8571428571428571,True,0.7333333333333333,0.75,True
8,2025-05-06,2025-07-31,0.15,0.85,0.7886710239651418,True,0.7833333333333333,0.6993464052287582,True
9,2025-08-01,2025-10-24,0.5166666666666667,0.6833333333333333,0.7363737486095663,True,0.5333333333333333,0.557285873192436,True
10,2025-10-27,2026-01-22,0.5333333333333333,0.5833333333333334,0.5613839285714286,True,0.55,0.5546875,True
